OBJECTID,musym,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
45,40A,"Locoda silt loam, protected, 0 to 3 percent slopes",Consociation,,1085,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60887
46,41D,"Mayger silt loam, 3 to 30 percent slopes",Consociation,,1690,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60888
47,42D,"McMille medial silt loam, 3 to 30 percent slopes",Consociation,,572,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60889
48,42E,"McMille silt loam, 30 to 60 percent slopes",Consociation,,1733,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60890
49,43A,"McNulty silt loam, 0 to 3 percent slopes",Consociation,,1890,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60891
50,44E,"Millicoma gravelly loam, 30 to 60 percent slopes",Consociation,,3933,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60892
51,45A,"Mues medial silt loam, 0 to 3 percent slopes",Consociation,,2584,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60893
52,46D,"Murtip medial loam, 3 to 30 percent slopes",Consociation,,4377,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60894
53,47E,"Murtip-Caterl complex, 30 to 60 percent slopes",Complex,,8633,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60895
54,48E,"Murtip-Caterl complex, 30 to 60 percent slopes, bouldery",Complex,,2104,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60896
55,49A,"Natal silty clay loam, 0 to 3 percent slopes",Consociation,,499,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60897
56,50E,"Necanicum-Ascar complex, 30 to 60 percent slopes",Complex,,13130,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60898
57,50F,"Necanicum-Ascar complex, 60 to 90 percent slopes",Complex,,6761,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60899
58,51A,"Nehalem silt loam, 0 to 3 percent slopes",Consociation,,1593,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60900
59,52A,"Nestucca silt loam, 0 to 3 percent slopes",Consociation,,830,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60901
60,53D,"Newanna gravelly loam, 3 to 30 percent slopes",Consociation,,133,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60902
61,54F,"Newanna-Rock outcrop complex, 60 to 90 percent slopes",Complex,,157,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60903
62,55B,"Northrup silt loam, 0 to 7 percent slopes",Consociation,,456,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60904
63,55C,"Northrup silt loam, 7 to 15 percent slopes",Consociation,,652,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60905
64,56D,"Rinearson silt loam, 3 to 30 percent slopes",Consociation,,20256,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60906
65,56E,"Rinearson silt loam, 30 to 60 percent slopes",Consociation,,45578,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60907
66,56F,"Rinearson silt loam, 60 to 90 percent slopes",Consociation,,4471,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60908
67,57E,"Scaponia-Braun silt loams, 30 to 60 percent slopes",Complex,,13554,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60909
68,58D,"Skipanon gravelly medial silt loam, 3 to 30 percent slopes",Consociation,,28437,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60910
69,58E,"Skipanon gravelly medial silt loam, 30 to 60 percent slopes",Consociation,,33439,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60911
70,59D,"Svensen loam, 3 to 30 percent slopes",Consociation,,5079,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60912
71,59E,"Svensen medial loam, 30 to 60 percent slopes",Consociation,,10147,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60913
72,59F,"Svensen loam, 60 to 90 percent slopes",Consociation,,613,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60914
73,5A,"Bergsvik mucky peat, 0 to 1 percent slopes",Consociation,,1241,,,,,,,Farmland of unique importance,,,,,Order 2,,,,,,10366,60915
74,60D,"Templeton medial silt loam, 3 to 30 percent slopes",Consociation,,15893,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60916
75,61E,"Templeton-Ecola silt loams, 30 to 60 percent slopes",Complex,,38557,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60917
76,62D,"Tolany silt loam, 3 to 30 percent slopes",Consociation,,3235,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60918
77,63D,"Tolke medial silt loam, 3 to 30 percent slopes",Consociation,,2201,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60919
78,64D,"Tolke-Alstony complex, 3 to 30 percent slopes",Complex,,2346,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60920
79,65A,"Treharne silt loam, 0 to 3 percent slopes",Consociation,,255,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60921
80,66,"Tropofluvents, 0 to 3 percent slopes",Consociation,,4362,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60922
81,67,"Tropopsamments, 0 to 15 percent slopes",Consociation,,2667,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60923
82,68,"Udifluvents-Hapludalfs, complex 0 to 15 percent slopes",Complex,,3510,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60924
83,69,"Udipsamments, 0 to 15 percent slopes",Consociation,,755,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60925
84,6A,"Brallier mucky peat, 0 to 1 percent slopes",Consociation,,1996,,,,,,,Farmland of unique importance,,,,,Order 2,,,,,,10366,60926
85,70C,"Waldport fine sand, 3 to 15 percent slopes",Consociation,,3179,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60927
86,70D,"Waldport fine sand, 15 to 30 percent slopes",Consociation,,1327,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60928
87,71B,"Walluski medial silt loam, 0 to 7 percent slopes",Consociation,,3261,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60929
88,71C,"Walluski medial silt loam, 7 to 15 percent slopes",Consociation,,3266,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60930
89,71D,"Walluski silt loam, 15 to 20 percent slopes",Consociation,,825,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60931
90,72A,"Warrenton loamy fine sand, 0 to 3 percent slopes",Consociation,,1050,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60932
91,73A,"Wauna-Locoda silt loams, protected, 0 to 3 percent slopes",Complex,,694,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60933
92,7D,"Braun-Scaponia silt loams, 3 to 30 percent slopes",Complex,,3019,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60934
93,7F,"Braun-Scaponia silt loams, 60 to 90 percent slopes",Complex,,1154,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60935
94,8A,"Brenner silt loam, 0 to 3 percent slopes",Consociation,,1409,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60936
95,9D,"Caterl-Laderly complex, 3 to 30 percent slopes",Complex,,6720,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60937
96,9E,"Caterl-Laderly complex, 30 to 60 percent slopes",Complex,,17614,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60938
97,W,Water,,,42840,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60939
98,164F,"Killam-Fawceter-Rock outcrop complex, 60 to 90 percent slopes",Complex,,10,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,1723638
99,162E,"Mosscreek-Fawceter complex, 30 to 60 percent slopes",Complex,,10,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,1723639
100,81B,"Quillamook complex, 0 to 7 percent slopes",Complex,,10,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,1723640
101,10B,"Cascade silt loam, 3 to 8 percent slopes",Consociation,,664,,,,,,,Prime farmland if drained,,,,,Order 2,,,,,,10367,60940
102,10C,"Cascade silt loam, 8 to 15 percent slopes",Consociation,,825,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,60941
103,10D,"Cascade silt loam, 15 to 30 percent slopes",Consociation,,1024,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,60942
104,11E,"Caterl gravelly silt loam, 30 to 60 percent north slopes",Consociation,,426,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60943
105,12E,"Caterl gravelly silt loam, 30 to 60 percent south slopes",Consociation,,390,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60944
106,13,Cloquato silt loam,Consociation,,282,,,,,,,All areas are prime farmland,,,,,Order 2,,,,,,10367,60945
107,14B,"Cornelius silt loam, 3 to 8 percent slopes",Consociation,,644,,,,,,,All areas are prime farmland,,,,,Order 2,,,,,,10367,60946
108,14C,"Cornelius silt loam, 8 to 15 percent slopes",Consociation,,1943,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,60947
109,14D,"Cornelius silt loam, 15 to 30 percent slopes",Consociation,,3008,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,60948
110,15,"Crims silt loam, protected",Consociation,,1855,,,,,,,Farmland of unique importance,,,,,Order 2,,,,,,10367,60949
111,16,Dayton silt loam,Consociation,,279,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,60950
112,17C,"Delena silt loam, 3 to 12 percent slopes",Consociation,,1102,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,60951
113,18E,"Dowde silt loam, 30 to 60 percent north slopes",Consociation,,4262,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60952
114,19E,"Dowde silt loam, 30 to 60 percent south slopes",Consociation,,6929,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60953
115,1A,"Aloha silt loam, 0 to 3 percent slopes",Consociation,,1982,,,,,,,Prime farmland if drained,,,,,Order 2,,,,,,10367,60954
116,1B,"Aloha silt loam, 3 to 8 percent slopes",Consociation,,919,,,,,,,Prime farmland if drained,,,,,Order 2,,,,,,10367,60955
117,2,Aloha variant silt loam,Consociation,,344,,,,,,,Prime farmland if drained,,,,,Order 2,,,,,,10367,60956
118,20,Eilertsen silt loam,Consociation,,2939,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,60957
119,21D,"Glohm silt loam, 3 to 30 percent slopes",Consociation,,9877,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60958
120,22C,"Goble silt loam, 3 to 15 percent slopes",Consociation,,1738,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60959
121,22D,"Goble silt loam, 15 to 30 percent slopes",Consociation,,1523,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60960
122,23C,"Goble silt loam, warm, 3 to 15 percent slopes",Consociation,,23678,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60961
123,23D,"Goble silt loam, warm, 15 to 30 percent slopes",Consociation,,20921,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60962
124,24,Hapludalfs-Udifluvents complex,Complex,,9402,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,60963
125,25D,"Hembre-Klickitat complex, 3 to 30 percent slopes",Complex,,292,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60964
126,25E,"Hembre-Klickitat complex, 30 to 60 percent slopes",Complex,,1238,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60965
127,26C,"Kenusky silty clay loam, 0 to 15 percent slopes",Consociation,,2638,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60966
128,27A,"Latourell silt loam, 0 to 3 percent slopes",Consociation,,387,,,,,,,All areas are prime farmland,,,,,Order 2,,,,,,10367,60967
129,27B,"Latourell silt loam, 3 to 8 percent slopes",Consociation,,463,,,,,,,All areas are prime farmland,,,,,Order 2,,,,,,10367,60968
130,28,Locoda silt loam,Consociation,,655,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60969
131,29,"Locoda silt loam, protected",Consociation,,3867,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,60970
132,30D,"Mayger silt loam, 3 to 30 percent slopes",Consociation,,19367,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60971
133,31,McBee silt loam,Consociation,,1057,,,,,,,Prime farmland if protected from flooding or not frequently flooded during the growing season,,,,,Order 2,,,,,,10367,60972
134,32,McNulty silt loam,Consociation,,2232,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,60973
135,33,Moag silty clay loam,Consociation,,434,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60974
136,34A,"Multnomah loam, 0 to 3 percent slopes",Consociation,,644,,,,,,,All areas are prime farmland,,,,,Order 2,,,,,,10367,60975
137,35B,"Multnomah variant loam, 0 to 8 percent slopes",Consociation,,530,,,,,,,All areas are prime farmland,,,,,Order 2,,,,,,10367,60976
138,36D,"Murnen silt loam, 3 to 30 percent slopes",Consociation,,6857,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60977
139,36E,"Murnen silt loam, 30 to 60 percent slopes",Consociation,,706,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60978
140,37,Natal silty clay loam,Consociation,,1398,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,60979
141,38,Natal variant silty clay loam,Consociation,,329,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,60980
142,39A,"Quafeno loam, 0 to 3 percent slopes",Consociation,,563,,,,,,,All areas are prime farmland,,,,,Order 2,,,,,,10367,60981
143,39B,"Quafeno loam, 3 to 8 percent slopes",Consociation,,373,,,,,,,All areas are prime farmland,,,,,Order 2,,,,,,10367,60982
144,3E,"Alstony gravelly loam, 30 to 60 percent north slopes",Consociation,,5383,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60983
145,3F,"Alstony gravelly loam, 60 to 90 percent north slopes",Consociation,,368,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60984
146,40A,"Quatama silt loam, 0 to 3 percent slopes",Consociation,,585,,,,,,,All areas are prime farmland,,,,,Order 2,,,,,,10367,60985
147,40B,"Quatama silt loam, 3 to 8 percent slopes",Consociation,,1654,,,,,,,All areas are prime farmland,,,,,Order 2,,,,,,10367,60986
148,40C,"Quatama silt loam, 8 to 15 percent slopes",Consociation,,1988,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,60987
149,41,Rafton silt loam,Consociation,,727,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60988
150,42,"Rafton silt loam, protected",Consociation,,3635,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,60989
151,43,Rafton-Sauvie-Moag complex,Complex,,3285,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60990
152,44D,"Rinearson silt loam, 3 to 30 percent slopes",Consociation,,5327,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60991
153,44E,"Rinearson silt loam, 30 to 60 percent slopes",Consociation,,2998,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60992
154,45,"Rock outcrop-Xerumbrepts complex, undulating",Complex,,2250,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60993
155,46,Sauvie silt loam,Consociation,,3281,,,,,,,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,,,,,Order 2,,,,,,10367,60994
156,47,"Sauvie silt loam, protected",Consociation,,2986,,,,,,,Prime farmland if drained,,,,,Order 2,,,,,,10367,60995
157,48,"Sauvie silty clay loam, protected",Consociation,,3134,,,,,,,Prime farmland if drained,,,,,Order 2,,,,,,10367,60996
158,49E,"Scaponia-Braun silt loams, 30 to 60 percent north slopes",Complex,,26851,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60997
159,4E,"Alstony gravelly loam, 30 to 60 percent south slopes",Consociation,,8347,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60998
160,4F,"Alstony gravelly loam, 60 to 90 percent south slopes",Consociation,,627,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,60999
161,50E,"Scaponia-Braun silt loams, 30 to 60 percent south slopes",Complex,,36256,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61000
162,51,Sifton loam,Consociation,,1677,,,,,,,All areas are prime farmland,,,,,Order 2,,,,,,10367,61001
163,52,"Sifton gravelly loam, occasionally flooded",Consociation,,103,,,,,,,All areas are prime farmland,,,,,Order 2,,,,,,10367,61002
164,53D,"Tolany loam, 3 to 30 percent slopes",Consociation,,10965,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61003
165,54E,"Tolany loam, 30 to 60 percent north slopes",Consociation,,2187,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61004
166,55E,"Tolany loam, 30 to 60 percent south slopes",Consociation,,2008,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61005
167,56D,"Tolke silt loam, 5 to 30 percent slopes",Consociation,,2255,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61006
168,57D,"Tolke-Alstony complex, 5 to 30 percent slopes",Complex,,4252,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61007
169,58,Treharne silt loam,Consociation,,2632,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,61008
170,59,Udifluvents-Dystrochrepts complex,Complex,,611,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,61009
171,5D,"Anunde silt loam, 3 to 30 percent slopes",Consociation,,5718,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61010
172,60,"Udipsamments, nearly level",Consociation,,1199,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61011
173,61,"Udipsamments, nearly level, protected",Consociation,,1454,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61012
174,62D,"Vernonia silt loam, 3 to 30 percent slopes",Consociation,,29409,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61013
175,63,Wapato silt loam,Consociation,,417,,,,,,,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,,,,,Order 2,,,,,,10367,61014
176,64E,"Wauld very gravelly loam, 30 to 70 percent slopes",Consociation,,2754,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61015
177,65D,"Wauld-Rock outcrop complex, 5 to 30 percent slopes",Complex,,1292,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61016
178,66,"Wauna silt loam, protected",Consociation,,4423,,,,,,,Prime farmland if drained,,,,,Order 2,,,,,,10367,61017
179,67,Wauna-Locoda silt loams,Complex,,1614,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61018
180,68,"Wauna-Locoda silt loams, protected",Complex,,1833,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,61019
181,69,Wollent silt loam,Consociation,,686,,,,,,,Prime farmland if drained,,,,,Order 2,,,,,,10367,61020
182,6D,"Bacona silt loam, 3 to 30 percent slopes",Consociation,,62309,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61021
183,70E,"Xerochrepts, steep",Consociation,,3344,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61022
184,71,"Xeropsamments, nearly level",Consociation,,1481,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61023
185,72,"Xeropsamments, nearly level, protected",Consociation,,949,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61024
186,7D,"Braun-Scaponia silt loams, 5 to 30 percent slopes",Complex,,7867,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61025
187,8F,"Braun-Scaponia silt loams, 60 to 90 percent north slopes",Complex,,3570,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61026
188,9F,"Braun-Scaponia silt loams, 60 to 90 percent south slopes",Complex,,5410,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61027
189,W,Water,,,2356,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61028
190,22E,"Goble silt loam, 30 to 60 percent slopes",Consociation,,119,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10367,61029
191,39C,"Quafeno loam, 8 to 15 percent slopes",Consociation,,8,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10367,61030
